ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
A,0.7121999999999999,0.7267,0.2522,0.6614,0.16440000000000002,0.8573999999999999,0.0809,0.8851,78.27,,,,,,,,,,,,155.08,47058647356.0,18.0,150.9,536.0
AAL,,,,,,,,,,-1.51,0.11900000000000001,-1.75,0.083,1.09,0.10300000000000001,-3.82,0.038,3.18,0.14300000000000002,9.7,22.02,13697949500.0,130.0,22.54,107396.0
AAP,,,,,,,,,,,,,,,,,,,,,213.33,13729929363.0,13.0,,
AAPL,,,,,,,,,,,,,,,,,,,,,141.25,2343545365816.0,20.0,,
ABBV,,,,,,,,,,,,,,,,,,,,,115.4,205432296870.0,24.0,,
ABC,,,,,,,,,,-6.39,0.10300000000000001,-87.96,0.01,0.12,0.008,8.51,0.152,4.3,0.212,9.7,120.35,24612108619.0,23.0,117.8,20549.0
ABMD,,,,,,,,,,,,,,,,,,,,,329.77,14475261495.0,8.0,,
ABT,,,,,,,,,,,,,,,,,,,,,119.0,212660174035.0,24.0,,
ACN,,,,,,,,,,,,,,,,,,,,,302.33,211293412626.0,9.0,,
ADBE,,,,,,,,,,,,,,,,,,,,,605.48,289582114006.0,4.0,,
ADI,,,,,,,,,,,,,,,,,,,,,171.78,65845990651.0,16.0,,
ADM,,,,,,,,,,,,,,,,,,,,,62.54,33973816805.0,46.0,,
ADP,,,,,,,,,,,,,,,,,,,,,203.52,86712122862.0,14.0,,
ADSK,,,,,,,,,,,,,,,,,,,,,301.4,65564692668.0,9.0,,
AEE,,,,,,,,,,,,,,,,,,,,,82.12,21139933143.0,35.0,,
AEP,,,,,,,,,,,,,,,,,,,,,86.76,44009984417.0,33.0,,
AES,,,,,,,,,,,,,,,,,,,,,26.39,17604000678.0,109.0,,
AFL,,,,,,,,,,7.28,0.131,1.2,0.132,1.6,0.205,7.2,0.083,1.94,0.075,12.5,56.23,37135434253.0,51.0,55.72,43444.0
AIG,,,,,,,,,,-11.09,0.087,0.67,0.091,0.96,0.085,6.09,0.065,0.94,0.026000000000000002,7.1,48.39,43079112717.0,59.0,48.5,49911.0
AIV,,,,,,,,,,-76.61,0.024,2.03,0.299,-31.76,0.002,-44.29,0.008,-53.16,0.006,6.8,7.02,1037728349.0,410.0,7.04,343852.0
AIZ,,,,,,,,,,23.28,0.43,1.68,0.214,0.98,0.08900000000000001,2.1,0.04,0.93,0.024,15.9,161.04,9759952685.0,17.0,158.0,15321.0
AJG,,,,,,,,,,,,,,,,,,,,,141.41,29796433493.0,20.0,,
AKAM,,,,,,,,,,,,,,,,,,,,,118.95,19852016155.0,24.0,,
ALB,,,,,,,,,,,,,,,,,,,,,180.6,20784878662.0,15.0,,
