ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
A,71.22%,72.67%,25.22%,66.14%,16.44%,85.74%,8.09%,88.51%,78.27%,,,,,,,,,,,,$155.08,47058647356.0,18.0,$150.90,536.0
AAL,,,,,,,,,,-1.51,11.9%,-1.75,8.3%,1.09,10.3%,-3.82,3.8%,3.18,14.3%,9.7%,$22.02,13697949500.0,130.0,$22.54,107396.0
AAP,,,,,,,,,,,,,,,,,,,,,$213.33,13729929363.0,13.0,,
AAPL,,,,,,,,,,,,,,,,,,,,,$141.25,2343545365816.0,20.0,,
ABBV,,,,,,,,,,,,,,,,,,,,,$115.40,205432296870.0,24.0,,
ABC,,,,,,,,,,-6.39,10.3%,-87.96,1.0%,0.12,0.8%,8.51,15.2%,4.3,21.2%,9.7%,$120.35,24612108619.0,23.0,$117.80,20549.0
ABMD,,,,,,,,,,,,,,,,,,,,,$329.77,14475261495.0,8.0,,
ABT,,,,,,,,,,,,,,,,,,,,,$119.00,212660174035.0,24.0,,
ACN,,,,,,,,,,,,,,,,,,,,,$302.33,211293412626.0,9.0,,
ADBE,,,,,,,,,,,,,,,,,,,,,$605.48,289582114006.0,4.0,,
ADI,,,,,,,,,,,,,,,,,,,,,$171.78,65845990651.0,16.0,,
ADM,,,,,,,,,,,,,,,,,,,,,$62.54,33973816805.0,46.0,,
ADP,,,,,,,,,,,,,,,,,,,,,$203.52,86712122862.0,14.0,,
ADSK,,,,,,,,,,,,,,,,,,,,,$301.40,65564692668.0,9.0,,
AEE,,,,,,,,,,,,,,,,,,,,,$82.12,21139933143.0,35.0,,
AEP,,,,,,,,,,,,,,,,,,,,,$86.76,44009984417.0,33.0,,
AES,,,,,,,,,,,,,,,,,,,,,$26.39,17604000678.0,109.0,,
AFL,,,,,,,,,,7.28,13.1%,1.2,13.2%,1.6,20.5%,7.2,8.3%,1.94,7.5%,12.5%,$56.23,37135434253.0,51.0,$55.72,43444.0
AIG,,,,,,,,,,-11.09,8.7%,0.67,9.1%,0.96,8.5%,6.09,6.5%,0.94,2.6%,7.1%,$48.39,43079112717.0,59.0,$48.50,49911.0
AIV,,,,,,,,,,-76.61,2.4%,2.03,29.9%,-31.76,0.2%,-44.29,0.8%,-53.16,0.6%,6.8%,$7.02,1037728349.0,410.0,$7.04,343852.0
AIZ,,,,,,,,,,23.28,43.0%,1.68,21.4%,0.98,8.9%,2.1,4.0%,0.93,2.4%,15.9%,$161.04,9759952685.0,17.0,$158.00,15321.0
AJG,,,,,,,,,,,,,,,,,,,,,$141.41,29796433493.0,20.0,,
AKAM,,,,,,,,,,,,,,,,,,,,,$118.95,19852016155.0,24.0,,
ALB,,,,,,,,,,,,,,,,,,,,,$180.60,20784878662.0,15.0,,
ALGN,,,,,,,,,,,,,,,,,,,,,$621.71,50337343394.0,4.0,,
ALK,,,,,,,,,,,,,,,,,,,,,$61.71,7821301979.0,46.0,,
ALL,,,,,,,,,,12.05,19.2%,1.65,20.4%,0.88,7.3%,2.49,4.2%,0.84,2.2%,10.7%,$133.48,40677809538.0,21.0,$138.23,17512.0
ALLE,,,,,,,,,,,,,,,,,,,,,$146.77,12751723169.0,19.0,,
ALXN,,,,,,,,,,,,,,,,,,,,,$190.90,41145896887.0,15.0,,
AMAT,,,,,,,,,,,,,,,,,,,,,$145.38,130125114641.0,19.0,,
AMCR,,,,,,,,,,,,,,,,,,,,,$11.57,18593689916.0,249.0,,
AMD,,,,,,,,,,,,,,,,,,,,,$96.07,117288302217.0,30.0,,
AME,,,,,,,,,,,,,,,,,,,,,$139.87,31195210904.0,20.0,,
AMGN,,,,,,,,,,,,,,,,,,,,,$256.50,146603852819.0,11.0,,
AMP,,,,,,,,,,,,,,,,,,,,,$262.00,29665261692.0,11.0,,
AMT,,,,,,,,,,,,,,,,,,,,,$280.11,125161019443.0,10.0,,
AMZN,,,,,,,,,,,,,,,,,,,,,$3511.79,1807946216985.0,0.0,,
ANET,76.71%,78.02%,25.89%,67.13%,18.44%,90.30%,8.71%,89.70%,81.29%,,,,,,,,,,,,$366.95,27888792178.0,7.0,$380.43,212.0
ANSS,,,,,,,,,,,,,,,,,,,,,$354.78,31558803746.0,8.0,,
ANTM,,,,,,,,,,,,,,,,,,,,,$384.62,97530319463.0,7.0,,
AON,,,,,,,,,,,,,,,,,,,,,$248.18,54276140921.0,11.0,,
AOS,,,,,,,,,,,,,,,,,,,,,$71.97,11778161767.0,40.0,,
APA,,,,,,,,,,,,,,,,,,,,,$21.80,8541374697.0,132.0,,
APD,,,,,,,,,,,,,,,,,,,,,$297.00,65589132085.0,9.0,,
APH,,,,,,,,,,,,,,,,,,,,,$70.27,42653939722.0,41.0,,
APTV,,,,,,,,,,,,,,,,,,,,,$165.06,44235624353.0,17.0,,
ARE,,,,,,,,,,,,,,,,,,,,,$186.10,28220451985.0,15.0,,
ATO,,,,,,,,,,,,,,,,,,,,,$98.18,12718039811.0,29.0,,
ATVI,,,,,,,,,,,,,,,,,,,,,$95.44,76767353167.0,30.0,,
AVB,,,,,,,,,,,,,,,,,,,,,$214.77,29960603432.0,13.0,,
AVGO,,,,,,,,,,,,,,,,,,,,,$484.22,203135565192.0,5.0,,
AVY,,,,,,,,,,,,,,,,,,,,,$218.70,17498334942.0,13.0,,
AWK,,,,,,,,,,,,,,,,,,,,,$162.04,28466183948.0,17.0,,
AXP,83.26%,82.18%,40.07%,89.31%,15.81%,84.55%,2.28%,68.32%,81.09%,,,,,,,,,,,,$176.22,140622165658.0,16.0,$172.00,470.0
AZO,,,,,,,,,,,,,,,,,,,,,$1599.09,33871054642.0,1.0,,
BA,,,,,,,,,,-11.82,8.3%,-7.78,7.3%,2.56,36.6%,-19.14,2.0%,-42.02,0.8%,11.0%,$246.72,139357239489.0,11.0,$243.67,9934.0
BAC,,,,,,,,,,,,,,,,,,,,,$42.99,354677461031.0,67.0,,
BAX,,,,,,,,,,,,,,,,,,,,,$81.84,41807292587.0,35.0,,
BBY,,,,,,,,,,,,,,,,,,,,,$119.01,29525285135.0,24.0,,
BDX,,,,,,,,,,,,,,,,,,,,,$254.73,74925331005.0,11.0,,
BEN,,,,,,,,,,,,,,,,,,,,,$32.42,16864536202.0,88.0,,
BF.B,,,,,,,,,,,,,,,,,,,,,$74.96,35397754864.0,38.0,,
BIIB,32.13%,33.47%,43.56%,92.67%,25.93%,97.62%,30.66%,100.00%,80.94%,,,,,,,,,,,,$355.20,54403679586.0,8.0,$352.99,229.0
BIO,,,,,,,,,,,,,,,,,,,,,$684.59,20104217432.0,4.0,,
BK,,,,,,,,,,,,,,,,,,,,,$52.10,45557916196.0,55.0,,
BKNG,,,,,,,,,,,,,,,,,,,,,$2245.12,95385676807.0,1.0,,
BKR,,,,,,,,,,,,,,,,,,,,,$24.06,24643919313.0,119.0,,
BLK,,,,,,,,,,,,,,,,,,,,,$915.04,139774534527.0,3.0,,
BLL,,,,,,,,,,,,,,,,,,,,,$85.39,27228074984.0,33.0,,
BMY,,,,,,,,,,,,,,,,,,,,,$68.26,153910701815.0,42.0,,
BR,,,,,,,,,,,,,,,,,,,,,$170.76,19537117899.0,16.0,,
BRK.B,,,,,,,,,,,,,,,,,,,,,$290.99,661866175666.0,9.0,,
BSX,,,,,,,,,,,,,,,,,,,,,$44.01,63213529513.0,65.0,,
BWA,,,,,,,,,,,,,,,,,,,,,$49.76,12048663858.0,57.0,,
BXP,,,,,,,,,,,,,,,,,,,,,$118.90,18103141686.0,24.0,,
C,,,,,,,,,,9.96,15.2%,0.81,9.5%,1.79,24.5%,5.92,6.3%,1.96,7.9%,12.7%,$73.89,148715129383.0,39.0,$73.79,32805.0
CAG,,,,,,,,,,,,,,,,,,,,,$36.59,17233432306.0,78.0,,
CAH,,,,,,,,,,,,,,,,,,,,,$59.16,16721051161.0,48.0,,
CARR,119.28%,93.07%,30.86%,77.23%,16.88%,86.73%,4.43%,78.61%,83.91%,,,,,,,,,,,,$50.36,43654943567.0,57.0,$49.04,1649.0
CAT,,,,,,,,,,,,,,,,,,,,,$217.39,118420859420.0,13.0,,
CB,,,,,,,,,,13.4,22.4%,1.28,14.5%,1.9,26.3%,10.96,24.2%,1.92,7.3%,18.9%,$167.90,72702395088.0,17.0,$164.80,14688.0
CBOE,,,,,,,,,,,,,,,,,,,,,$121.84,13014154293.0,23.0,,
CBRE,,,,,,,,,,,,,,,,,,,,,$91.30,30485573761.0,31.0,,
CCI,,,,,,,,,,,,,,,,,,,,,$202.69,86268787390.0,14.0,,
CCL,,,,,,,,,,,,,,,,,,,,,$26.23,29497535921.0,109.0,,
CDNS,,,,,,,,,,,,,,,,,,,,,$139.11,39451566845.0,20.0,,
CDW,,,,,,,,,,,,,,,,,,,,,$184.93,24826555640.0,15.0,,
CE,,,,,,,,,,,,,,,,,,,,,$159.68,17729303215.0,18.0,,
CERN,,,,,,,,,,,,,,,,,,,,,$82.12,24688487982.0,35.0,,
CF,,,,,,,,,,,,,,,,,,,,,$53.95,11549190311.0,53.0,,
CFG,,,,,,,,,,13.3,22.2%,0.96,10.5%,2.74,37.7%,7.86,11.3%,3.11,13.7%,19.1%,$46.38,19774772441.0,62.0,$47.08,51417.0
CHD,,,,,,,,,,,,,,,,,,,,,$88.70,21065314466.0,32.0,,
CHRW,,,,,,,,,,,,,,,,,,,,,$97.18,12536181200.0,29.0,,
CHTR,,,,,,,,,,,,,,,,,,,,,$743.89,138181859421.0,3.0,,
CI,,,,,,,,,,10.59,17.2%,1.7,22.2%,0.52,3.4%,11.26,25.9%,4.38,21.8%,18.1%,$238.09,83299337824.0,12.0,$247.05,9798.0
CINF,,,,,,,,,,6.44,12.7%,1.7,22.2%,1.93,27.2%,4.92,5.1%,1.9,7.1%,14.9%,$119.82,19594483496.0,24.0,$121.38,19943.0
CL,,,,,,,,,,,,,,,,,,,,,$82.33,71813239516.0,35.0,,
CLX,,,,,,,,,,,,,,,,,,,,,$186.38,22870543146.0,15.0,,
CMA,,,,,,,,,,,,,,,,,,,,,$74.65,10178482412.0,38.0,,
CMCSA,,,,,,,,,,,,,,,,,,,,,$60.82,279661680638.0,47.0,,
CME,,,,,,,,,,,,,,,,,,,,,$220.53,77861000104.0,13.0,,
CMG,,,,,,,,,,,,,,,,,,,,,$1594.63,45704998930.0,1.0,,
CMI,,,,,,,,,,,,,,,,,,,,,$248.84,36752769839.0,11.0,,
CMS,,,,,,,,,,,,,,,,,,,,,$61.84,17868289963.0,46.0,,
CNC,,,,,,,,,,18.44,31.5%,1.7,22.2%,0.38,1.8%,12.75,34.7%,0.53,1.2%,18.3%,$74.31,43041242450.0,38.0,$75.41,32100.0
CNP,,,,,,,,,,,,,,,,,,,,,$24.70,14527529719.0,116.0,,
COF,,,,,,,,,,10.43,16.4%,1.22,13.6%,2.3,32.9%,7.61,9.5%,2.65,10.7%,16.6%,$165.50,73700359065.0,17.0,$158.80,15243.0
COG,,,,,,,,,,,,,,,,,,,,,$18.40,7366773241.0,156.0,,
COO,,,,,,,,,,,,,,,,,,,,,$411.19,21660543212.0,7.0,,
COP,61.87%,65.54%,61.94%,97.62%,18.08%,89.31%,8.07%,88.32%,85.20%,,,,,,,,,,,,$62.63,87761093817.0,46.0,$64.82,1247.0
COST,,,,,,,,,,,,,,,,,,,,,$415.82,176443564259.0,6.0,,
COTY,,,,,,,,,,,,,,,,,,,,,$9.24,7232874062.0,312.0,,
CPB,,,,,,,,,,,,,,,,,,,,,$46.05,14056052464.0,62.0,,
CPRT,,,,,,,,,,,,,,,,,,,,,$140.49,32910769172.0,20.0,,
CRM,,,,,,,,,,,,,,,,,,,,,$247.80,238803210314.0,11.0,,
CSCO,,,,,,,,,,,,,,,,,,,,,$55.51,224826949448.0,51.0,,
CSX,,,,,,,,,,,,,,,,,,,,,$33.01,24971974561.0,87.0,,
CTAS,,,,,,,,,,,,,,,,,,,,,$390.05,41045143117.0,7.0,,
CTL,,,,,,,,,,,,,,,,,,,,,$11.00,12360444154.0,262.0,,
CTSH,,,,,,,,,,,,,,,,,,,,,$70.21,38632956277.0,41.0,,
CTVA,,,,,,,,,,,,,,,,,,,,,$44.89,33725579583.0,64.0,,
CTXS,,,,,,,,,,,,,,,,,,,,,$120.67,14616419730.0,23.0,,
CVS,,,,,,,,,,15.17,25.3%,1.56,19.2%,0.42,2.0%,8.5,15.0%,1.5,5.1%,13.3%,$83.13,108612217468.0,34.0,$85.20,28412.0
CVX,,,,,,,,,,,,,,,,,,,,,$106.98,211286312264.0,26.0,,
CXO,,,,,,,,,,,,,,,,,,,,,$68.40,13159031027.0,42.0,,
D,,,,,,,,,,,,,,,,,,,,,$76.78,61505180095.0,37.0,,
DAL,,,,,,,,,,,,,,,,,,,,,$44.25,28298214558.0,65.0,,
DD,,,,,,,,,,,,,,,,,,,,,$81.56,43683017544.0,35.0,,
DE,,,,,,,,,,,,,,,,,,,,,$363.54,111609847294.0,7.0,,
DFS,161.06%,97.82%,34.46%,82.38%,23.62%,95.64%,-1.03%,45.74%,80.40%,,,,,,,,,,,,$123.47,36948130184.0,23.0,$121.60,665.0
DG,,,,,,,,,,,,,,,,,,,,,$222.90,51689997773.0,12.0,,
DGX,,,,,,,,,,,,,,,,,,,,,$138.48,17827458037.0,20.0,,
DHI,,,,,,,,,,,,,,,,,,,,,$94.30,34928773520.0,30.0,,
DHR,,,,,,,,,,,,,,,,,,,,,$276.34,202125596089.0,10.0,,
DIS,,,,,,,,,,,,,,,,,,,,,$184.05,328869473249.0,15.0,,
DISCA,,,,,,,,,,,,,,,,,,,,,$32.30,15319329328.0,89.0,,
DISCK,,,,,,,,,,,,,,,,,,,,,$30.35,15705754530.0,95.0,,
DISH,,,,,,,,,,,,,,,,,,,,,$42.79,22871779617.0,67.0,,
DLR,,,,,,,,,,,,,,,,,,,,,$153.11,43630504074.0,18.0,,
DLTR,,,,,,,,,,,,,,,,,,,,,$103.53,23863899853.0,27.0,,
DOV,,,,,,,,,,,,,,,,,,,,,$156.06,21765969154.0,18.0,,
DOW,,,,,,,,,,,,,,,,,,,,,$65.55,47406891222.0,43.0,,
DPZ,,,,,,,,,,,,,,,,,,,,,$474.72,18567181053.0,6.0,,
DRE,,,,,,,,,,,,,,,,,,,,,$48.49,17895115033.0,59.0,,
DRI,,,,,,,,,,,,,,,,,,,,,$153.88,19994872657.0,18.0,,
DTE,,,,,,,,,,,,,,,,,,,,,$115.90,22461297849.0,24.0,,
DUK,,,,,,,,,,,,,,,,,,,,,$102.36,79290889742.0,28.0,,
DVA,,,,,,,,,,,,,,,,,,,,,$126.66,13469365989.0,22.0,,
DVN,190.82%,99.41%,92.29%,99.41%,28.69%,98.42%,-0.44%,50.50%,86.93%,,,,,,,,,,,,$30.98,20352142327.0,93.0,$30.45,2656.0
DXC,156.16%,97.43%,58.69%,96.83%,31.47%,99.01%,6.28%,83.56%,94.21%,-71.58,3.2%,2.12,30.7%,0.61,4.4%,8.11,11.7%,3.57,17.6%,13.5%,$40.80,10480935588.0,70.0,$42.36,1909.0
DXCM,,,,,,,,,,,,,,,,,,,,,$449.00,42302964290.0,6.0,,
EA,,,,,,,,,,,,,,,,,,,,,$143.79,41749646602.0,20.0,,
EBAY,,,,,,,,,,,,,,,,,,,,,$70.10,48523910884.0,41.0,,
ECL,,,,,,,,,,,,,,,,,,,,,$219.29,62415235330.0,13.0,,
ED,,,,,,,,,,,,,,,,,,,,,$75.64,25478144424.0,38.0,,
EFX,,,,,,,,,,,,,,,,,,,,,$249.90,30547926254.0,11.0,,
EIX,,,,,,,,,,,,,,,,,,,,,$57.78,22040365837.0,49.0,,
EL,,,,,,,,,,,,,,,,,,,,,$320.47,114881812919.0,8.0,,
EMN,,,,,,,,,,,,,,,,,,,,,$117.22,16561042752.0,24.0,,
EMR,,,,,,,,,,,,,,,,,,,,,$100.72,59788466254.0,28.0,,
EOG,80.16%,80.00%,78.09%,98.81%,15.32%,83.17%,1.66%,64.75%,81.68%,,,,,,,,,,,,$87.07,51790474254.0,33.0,$89.47,904.0
EQIX,,,,,,,,,,,,,,,,,,,,,$813.90,72053847116.0,3.0,,
EQR,,,,,,,,,,,,,,,,,,,,,$79.98,29749130283.0,36.0,,
ES,,,,,,,,,,,,,,,,,,,,,$81.00,28365411430.0,35.0,,
ESS,,,,,,,,,,,,,,,,,,,,,$313.52,20441703337.0,9.0,,
ETFC,,,,,,,,,,,,,,,,,,,,,$49.97,11171902628.0,57.0,,
ETN,,,,,,,,,,,,,,,,,,,,,$157.29,60598731606.0,18.0,,
ETR,,,,,,,,,,,,,,,,,,,,,$105.47,20971535760.0,27.0,,
EVRG,,,,,,,,,,,,,,,,,,,,,$63.45,14455361767.0,45.0,,
EW,,,,,,,,,,,,,,,,,,,,,$109.85,65775366651.0,26.0,,
EXC,,,,,,,,,,,,,,,,,,,,,$45.42,44965355892.0,63.0,,
EXPD,69.51%,71.68%,34.86%,82.57%,17.71%,88.71%,3.32%,73.27%,79.06%,,,,,,,,,,,,$128.08,21675822112.0,22.0,$132.00,612.0
EXPE,,,,,,,,,,,,,,,,,,,,,$171.00,24479478418.0,16.0,,
EXR,75.48%,77.23%,46.15%,93.86%,23.37%,95.45%,9.54%,91.49%,89.50%,,,,,,,,,,,,$171.38,22486170303.0,16.0,$175.12,461.0
F,149.43%,97.03%,71.36%,98.42%,22.76%,94.85%,0.70%,59.41%,87.43%,15.55,26.9%,1.73,23.8%,0.47,2.4%,5.22,5.5%,2.92,12.7%,14.3%,$15.35,60483403765.0,187.0,$15.59,5188.0
FANG,167.05%,98.42%,110.39%,99.80%,23.90%,95.84%,15.58%,97.23%,97.82%,,,,,,,,,,,,$102.58,18296589321.0,28.0,$102.81,786.0
FAST,,,,,,,,,,,,,,,,,,,,,$53.31,30468021454.0,54.0,,
FB,,,,,,,,,,,,,,,,,,,,,$372.29,1065761135270.0,7.0,,
FBHS,,,,,,,,,,,,,,,,,,,,,$100.19,14427226503.0,28.0,,
FCX,,,,,,,,,,,,,,,,,,,,,$39.00,55798602470.0,73.0,,
FDX,,,,,,,,,,,,,,,,,,,,,$306.06,80845273212.0,9.0,,
FE,,,,,,,,,,,,,,,,,,,,,$39.04,21446575537.0,73.0,,
FFIV,,,,,,,,,,,,,,,,,,,,,$192.49,11689782379.0,14.0,,
FIS,,,,,,,,,,,,,,,,,,,,,$151.00,89681464721.0,19.0,,
FISV,,,,,,,,,,,,,,,,,,,,,$111.53,75081382601.0,25.0,,
FITB,,,,,,,,,,,,,,,,,,,,,$40.35,27418970415.0,71.0,,
FLIR,,,,,,,,,,,,,,,,,,,,,$59.55,7621198436.0,48.0,,
FLS,,,,,,,,,,,,,,,,,,,,,$41.92,5404651730.0,68.0,,
FLT,,,,,,,,,,,,,,,,,,,,,$261.32,22294803783.0,11.0,,
FMC,,,,,,,,,,,,,,,,,,,,,$109.78,14134887628.0,26.0,,
FOX,,,,,,,,,,,,,,,,,,,,,$36.18,21894349343.0,79.0,,
FOXA,,,,,,,,,,,,,,,,,,,,,$38.70,21777436197.0,74.0,,
FRC,,,,,,,,,,,,,,,,,,,,,$190.31,33253162870.0,15.0,,
FRT,,,,,,,,,,,,,,,,,,,,,$119.00,9271984524.0,24.0,,
FTI,,,,,,,,,,12.9,20.6%,1.18,12.7%,0.38,1.6%,4.11,5.0%,3.76,18.8%,11.7%,$9.52,4231487136.0,302.0,$9.75,248279.0
FTNT,75.22%,76.83%,65.90%,98.02%,31.15%,98.61%,13.32%,95.64%,92.28%,,,,,,,,,,,,$247.23,40084052650.0,11.0,$251.21,322.0
FTV,,,,,,,,,,,,,,,,,,,,,$74.14,24977410872.0,38.0,,
GD,,,,,,,,,,,,,,,,,,,,,$195.70,53870775559.0,14.0,,
GE,,,,,,,,,,,,,,,,,,,,,$14.03,120295707913.0,205.0,,
GILD,,,,,,,,,,,,,,,,,,,,,$71.61,90548196384.0,40.0,,
GIS,,,,,,,,,,,,,,,,,,,,,$61.53,37278787758.0,46.0,,
GL,,,,,,,,,,13.97,23.6%,1.32,15.4%,2.04,29.3%,6.71,7.3%,2.04,8.3%,16.8%,$99.88,10100949339.0,28.0,$99.64,24294.0
GLW,,,,,,,,,,,,,,,,,,,,,$41.13,35223111000.0,70.0,,
GM,,,,,,,,,,9.67,14.9%,1.82,25.3%,0.72,5.9%,3.23,4.6%,2.85,12.3%,12.6%,$61.22,86434578439.0,47.0,$61.78,39182.0
GOOG,79.20%,79.41%,45.81%,93.66%,18.42%,90.10%,4.17%,76.63%,84.95%,,,,,,,,,,,,$2656.80,1745883559336.0,1.0,$2678.61,30.0
GOOGL,71.46%,72.87%,41.37%,90.50%,15.47%,83.56%,2.90%,71.88%,79.70%,,,,,,,,,,,,$2521.89,1806104773858.0,1.0,$2625.42,30.0
GPC,,,,,,,,,,,,,,,,,,,,,$133.26,19265142433.0,21.0,,
GPN,,,,,,,,,,,,,,,,,,,,,$192.89,58585888325.0,14.0,,
GPS,174.18%,98.61%,68.97%,98.22%,13.04%,76.44%,1.26%,62.97%,84.06%,,,,,,,,,,,,$33.63,13037220140.0,85.0,$34.20,2365.0
